Gender,Geographic Region,Loyalty Status,Neighborhood Cluster-7 Level,Affluence Grade,Age,Loyalty Card Tenure,ORGANICS
F,Midlands,Silver,D,5.0,70.0,8.0,1.0
M,Midlands,Tin,F,10.0,65.0,7.0,1.0
F,Midlands,Tin,A,11.0,68.0,8.0,0.0
F,Midlands,Tin,A,11.0,74.0,8.0,0.0
M,North,Tin,D,13.0,62.0,5.0,0.0
M,Midlands,Silver,F,10.0,62.0,3.0,0.0
F,Midlands,Gold,F,14.0,43.0,1.0,1.0
F,North,Gold,F,7.0,60.0,2.0,0.0
F,Midlands,Silver,F,9.0,51.0,11.0,0.0
F,South East,Tin,C,6.0,64.0,9.0,0.0
F,South East,Tin,C,16.0,37.0,4.0,1.0
M,Midlands,Silver,D,8.0,54.0,1.0,0.0
F,Midlands,Gold,B,5.0,70.0,8.0,0.0
F,Midlands,Silver,F,9.0,66.0,12.0,0.0
F,Midlands,Gold,B,9.0,74.0,2.0,0.0
M,South East,Silver,D,7.0,66.0,5.0,0.0
F,South East,Tin,D,6.0,46.0,8.0,0.0
M,Midlands,Silver,B,7.0,75.0,7.0,0.0
M,North,Tin,F,7.0,43.0,5.0,1.0
F,Midlands,Gold,C,7.0,62.0,4.0,0.0
M,South West,Silver,B,8.0,37.0,9.0,1.0
F,South East,Tin,F,9.0,49.0,8.0,0.0
F,Midlands,Gold,D,3.0,50.0,3.0,0.0
F,Midlands,Silver,C,15.0,35.0,5.0,1.0
F,Midlands,Silver,B,10.0,71.0,5.0,0.0
F,North,Silver,F,7.0,44.0,1.0,0.0
M,North,Tin,B,8.0,42.0,5.0,0.0
F,South West,Gold,B,9.0,68.0,5.0,1.0
F,North,Tin,D,9.0,31.0,4.0,0.0
F,South East,Gold,B,8.0,70.0,15.0,0.0
F,North,Platinum,E,7.0,72.0,3.0,0.0
F,North,Gold,F,9.0,37.0,1.0,1.0
F,North,Gold,C,8.0,58.0,7.0,0.0
F,South East,Silver,D,7.0,47.0,5.0,0.0
M,Midlands,Silver,E,8.0,71.0,6.0,0.0
F,Midlands,Silver,D,8.0,62.0,5.0,1.0
F,Midlands,Silver,E,8.0,39.0,4.0,1.0
M,Midlands,Gold,D,6.0,76.0,19.0,0.0
F,Scottish,Gold,B,7.0,61.0,11.0,1.0
M,North,Silver,C,8.0,60.0,11.0,1.0
F,South East,Tin,F,15.0,42.0,5.0,1.0
F,Midlands,Silver,E,10.0,57.0,11.0,0.0
M,Midlands,Tin,F,6.0,45.0,4.0,0.0
F,Midlands,Silver,B,11.0,75.0,8.0,1.0
F,North,Tin,E,8.0,37.0,5.0,1.0
F,North,Tin,A,19.0,39.0,8.0,1.0
M,Scottish,Gold,B,8.0,57.0,9.0,0.0
F,South East,Gold,C,13.0,18.0,1.0,0.0
F,North,Gold,D,9.0,50.0,4.0,0.0
F,Midlands,Silver,E,7.0,78.0,6.549493629532832,0.0
F,Midlands,Tin,C,5.0,61.0,5.0,0.0
F,South East,Silver,A,11.0,66.0,5.0,0.0
M,Midlands,Silver,C,9.0,48.0,2.0,0.0
F,South East,Silver,C,8.0,53.0,1.0,0.0
F,Midlands,Gold,E,10.0,72.0,8.0,1.0
F,South East,Tin,E,9.0,68.0,7.0,0.0
F,Scottish,Tin,A,8.0,47.0,5.0,0.0
F,South East,Silver,E,11.0,39.0,1.0,1.0
F,South East,Tin,A,12.0,72.0,8.0,0.0
M,South East,Gold,E,10.0,67.0,4.0,0.0
F,South East,Tin,C,9.0,60.0,8.0,0.0
M,North,Tin,F,11.0,52.0,9.0,0.0
F,Midlands,Tin,D,7.0,55.0,8.0,0.0
M,South East,Tin,B,13.0,41.0,7.0,1.0
