iter	Logloss
0	0.6692183767
1	0.6475111725
2	0.628752152
3	0.6122821004
4	0.5983749671
5	0.5844307042
6	0.5724457988
7	0.5618383209
8	0.5526107792
9	0.5450760063
10	0.5380414255
11	0.5316316227
12	0.5257862235
13	0.5209989687
14	0.5155899886
15	0.5110320432
16	0.5070541367
17	0.5032598031
18	0.4997893468
19	0.4959022934
20	0.4933516301
21	0.4911035387
22	0.4889304024
23	0.4870455605
24	0.4851174663
25	0.4833155467
26	0.4817623875
27	0.4805841126
28	0.4793410584
29	0.4775604512
30	0.4765622707
31	0.4756408398
32	0.4748316549
33	0.4738176052
34	0.4730841623
35	0.4723160839
36	0.4715492645
37	0.470959415
38	0.4704836244
39	0.4699866953
40	0.4694328243
41	0.4690070657
42	0.4684975585
43	0.4674300715
44	0.4669670938
45	0.4659851675
46	0.4653087659
47	0.4645255684
48	0.4643184163
49	0.4640656778
50	0.4637089793
51	0.4633276556
52	0.4629407667
53	0.4626547876
54	0.4623997758
55	0.4618641372
56	0.4616894324
57	0.4613863127
58	0.4609733428
59	0.4606181781
60	0.460335051
61	0.460030262
62	0.4598081871
63	0.4594119679
64	0.4591479317
65	0.4589358001
66	0.4586963502
67	0.4586373261
68	0.4583420406
69	0.4580852298
70	0.4579159178
71	0.4576807661
72	0.4576509143
73	0.4573997907
74	0.4571572823
75	0.4568932591
76	0.4564031299
77	0.4561964813
78	0.4560028567
79	0.455766143
80	0.4556380486
81	0.4553852547
82	0.455171491
83	0.4549557082
84	0.4547820238
85	0.4545515882
86	0.4543645287
87	0.454172899
88	0.4539913558
89	0.4538918877
90	0.4538449913
91	0.4537068905
92	0.4534694223
93	0.4532741302
94	0.4530955243
95	0.4529871514
96	0.452868709
97	0.4525717299
98	0.4524884786
99	0.4523038483
