iter	Passed	Remaining
0	6	612
1	13	649
2	18	593
3	25	619
4	31	592
5	36	574
6	43	580
7	48	562
8	54	548
9	61	551
10	66	540
11	70	515
12	78	524
13	83	514
14	91	519
15	97	511
16	102	502
17	111	505
18	118	503
19	125	501
20	130	491
21	139	495
22	145	485
23	170	539
24	177	533
25	184	524
26	191	517
27	197	508
28	205	504
29	211	494
30	220	490
31	225	479
32	231	470
33	239	465
34	245	455
35	254	452
36	261	444
37	270	441
38	276	432
39	281	422
40	287	413
41	292	404
42	300	398
43	306	389
44	314	383
45	319	375
46	325	367
47	333	361
48	338	352
49	347	347
50	354	340
51	363	335
52	371	329
53	379	322
54	384	314
55	390	307
56	408	308
57	414	300
58	420	292
59	429	286
60	435	278
61	443	272
62	449	264
63	455	256
64	462	248
65	468	241
66	476	234
67	480	226
68	486	218
69	494	211
70	499	204
71	508	197
72	512	189
73	518	182
74	525	175
75	531	167
76	539	161
77	544	153
78	550	146
79	558	139
80	563	132
81	571	125
82	577	118
83	582	111
84	590	104
85	595	96
86	603	90
87	611	83
88	619	76
89	624	69
90	629	62
91	648	56
92	656	49
93	662	42
94	670	35
95	676	28
96	684	21
97	689	14
98	695	7
99	704	0
