iter	Logloss
0	0.6479035271
1	0.614200431
2	0.5887475335
3	0.5634934157
4	0.546190139
5	0.5319677377
6	0.5210563492
7	0.5118322501
8	0.503646054
9	0.4980536178
10	0.4913918379
11	0.4879939912
12	0.4831378106
13	0.4797605638
14	0.4769843227
15	0.4754340835
16	0.4733621401
17	0.4715534782
18	0.4701313186
19	0.4689706013
20	0.4680052599
21	0.4673497195
22	0.4667934676
23	0.4660860228
24	0.4654152774
25	0.4638129819
26	0.4632572077
27	0.4626974209
28	0.4625064633
29	0.4619327597
30	0.4616028527
31	0.4612670372
32	0.4609735062
33	0.4607940607
34	0.4605866832
35	0.4604129646
36	0.4602182332
37	0.4600384576
38	0.4597724341
39	0.4594574
40	0.4592631968
41	0.4591092366
42	0.4589990676
43	0.4581381642
44	0.4579776038
45	0.4578689848
46	0.4577062814
47	0.4574926282
48	0.4573792476
49	0.457211415
50	0.4565918123
51	0.4563482291
52	0.4561660877
53	0.4560552506
54	0.4559115627
55	0.455829743
56	0.455658669
57	0.4555803465
58	0.4553484141
59	0.4552454677
60	0.4551359414
61	0.4549243022
62	0.4548250069
63	0.4547412273
64	0.4545859107
65	0.454410946
66	0.4542833701
67	0.4542428121
68	0.4541371623
69	0.4540240316
70	0.4538820004
71	0.4537630884
72	0.4536896191
73	0.4535303699
74	0.4534145097
75	0.4531911558
76	0.4529255824
77	0.4528441261
78	0.4527036551
79	0.4524752187
80	0.4522829901
81	0.452186867
82	0.4520028984
83	0.4518807377
84	0.4517838678
85	0.451349763
86	0.4512151614
87	0.451074658
88	0.450961285
89	0.450772643
90	0.450634272
91	0.450527037
92	0.4502207678
93	0.4501438124
94	0.449936862
95	0.4498217858
96	0.4497610488
97	0.4495476804
98	0.449351645
99	0.4492173563
100	0.4490630169
101	0.448813257
102	0.4487749026
103	0.448553928
104	0.4482488236
105	0.4479746318
106	0.4478423183
107	0.447650328
108	0.4474177774
109	0.4472629178
110	0.44708741
111	0.4469826617
112	0.4468543251
113	0.4466261533
114	0.4464940075
115	0.4463649627
116	0.4462335563
117	0.4460204618
118	0.4458344684
119	0.4456682488
120	0.4455086787
121	0.4451856956
122	0.445028079
123	0.4449853909
124	0.4446722846
125	0.4444728222
126	0.4443299801
127	0.4441756972
128	0.4440743563
129	0.4439178467
130	0.4437618222
131	0.4435303818
132	0.4433782255
133	0.4432519062
134	0.4430753424
135	0.4428937192
136	0.442679122
137	0.4425232114
138	0.4422974672
139	0.442168187
140	0.4420237842
141	0.4418775673
142	0.441723896
143	0.441632007
144	0.4414562477
145	0.4413140358
146	0.441192527
147	0.4410669879
148	0.4408846323
149	0.4407591963
150	0.4405785269
151	0.4405563419
152	0.4403982499
153	0.4402914972
154	0.4401714425
155	0.4400960615
156	0.4399734467
157	0.4398905076
158	0.4398205353
159	0.4397140819
160	0.4396082069
161	0.439473833
162	0.4393031097
163	0.4391308143
164	0.4389696227
165	0.4388137586
166	0.4385877593
167	0.4384006869
168	0.4382498301
169	0.4380363628
170	0.4378683785
171	0.4377720387
172	0.4376630535
173	0.4374842744
174	0.4374019371
175	0.4373144891
176	0.4372860737
177	0.4371765283
178	0.4370283577
179	0.4369269361
180	0.4367938613
181	0.436665743
182	0.4365028523
183	0.4363116715
184	0.4361729028
185	0.4360570326
186	0.4359519451
187	0.4358778833
188	0.4357469652
189	0.4355597861
190	0.4354741817
191	0.4352332817
192	0.4351917274
193	0.4351255043
194	0.4350015463
195	0.4348009319
196	0.4346678974
197	0.4345684013
198	0.4344264291
199	0.4343644615
