iter	Passed	Remaining
0	141	28077
1	147	14609
2	154	10174
3	161	7929
4	168	6570
5	175	5682
6	183	5056
7	192	4620
8	199	4243
9	207	3939
10	215	3708
11	223	3495
12	231	3332
13	239	3184
14	248	3061
15	256	2952
16	264	2847
17	271	2744
18	278	2657
19	286	2582
20	295	2518
21	303	2458
22	312	2401
23	323	2375
24	332	2330
25	342	2295
26	350	2244
27	358	2203
28	366	2161
29	376	2131
30	382	2085
31	391	2053
32	397	2013
33	405	1981
34	414	1952
35	423	1928
36	431	1899
37	439	1872
38	450	1858
39	459	1836
40	467	1812
41	477	1794
42	486	1777
43	495	1758
44	505	1741
45	515	1726
46	524	1708
47	533	1688
48	544	1678
49	551	1654
50	560	1636
51	569	1619
52	577	1603
53	586	1585
54	595	1569
55	602	1549
56	610	1531
57	618	1514
58	625	1495
59	634	1480
60	641	1462
61	651	1450
62	663	1442
63	671	1427
64	682	1416
65	689	1400
66	700	1389
67	707	1374
68	716	1361
69	725	1347
70	733	1333
71	742	1320
72	751	1306
73	761	1295
74	767	1278
75	775	1265
76	782	1250
77	791	1237
78	799	1225
79	807	1211
80	815	1198
81	822	1183
82	831	1172
83	839	1159
84	846	1145
85	854	1132
86	863	1120
87	870	1108
88	883	1101
89	892	1090
90	900	1078
91	907	1065
92	916	1054
93	925	1043
94	933	1031
95	941	1020
96	950	1008
97	957	997
98	966	985
99	974	974
100	982	963
101	991	952
102	999	941
103	1010	933
104	1020	922
105	1029	912
106	1035	900
107	1044	889
108	1051	878
109	1059	867
110	1068	856
111	1076	846
112	1084	835
113	1092	824
114	1101	813
115	1108	802
116	1115	791
117	1123	780
118	1131	770
119	1139	759
120	1148	750
121	1159	741
122	1167	730
123	1175	720
124	1183	710
125	1193	700
126	1200	690
127	1209	680
128	1216	669
129	1225	659
130	1235	650
131	1243	640
132	1253	631
133	1260	620
134	1268	610
135	1276	600
136	1283	590
137	1291	580
138	1300	570
139	1309	561
140	1318	551
141	1325	541
142	1335	532
143	1345	523
144	1352	513
145	1361	503
146	1370	494
147	1379	484
148	1387	474
149	1395	465
150	1406	456
151	1415	447
152	1423	437
153	1432	427
154	1439	418
155	1446	408
156	1455	398
157	1463	388
158	1471	379
159	1479	369
160	1488	360
161	1497	351
162	1505	341
163	1514	332
164	1522	323
165	1530	313
166	1538	303
167	1546	294
168	1554	285
169	1562	275
170	1570	266
171	1578	256
172	1587	247
173	1595	238
174	1602	228
175	1610	219
176	1619	210
177	1627	201
178	1635	191
179	1642	182
180	1651	173
181	1658	164
182	1666	154
183	1675	145
184	1683	136
185	1691	127
186	1699	118
187	1707	109
188	1715	99
189	1722	90
190	1730	81
191	1738	72
192	1746	63
193	1755	54
194	1763	45
195	1772	36
196	1780	27
197	1788	18
198	1795	9
199	1802	0
