Gender,Geographic Region,Loyalty Status,Neigborhood Cluster-55 Level,Neighborhood Cluster-7 Level,Television Region,Affluence Grade,Age,Loyalty Card Tenure,ORGANICS
F,Midlands,Silver,27.0,D,Wales & West,5,70,8,1
M,Midlands,Tin,51.0,F,Midlands,10,65,7,1
F,Midlands,Tin,4.0,A,Midlands,11,68,8,0
F,North,Platinum,28.0,D,N West,9,72,3,0
F,Midlands,Tin,3.0,A,East,11,74,8,0
M,North,Tin,32.0,D,N East,13,62,5,0
M,Midlands,Silver,49.0,F,East,10,62,3,0
F,Midlands,Gold,49.0,F,East,14,43,1,1
F,North,Gold,52.0,F,N East,7,60,2,0
M,South East,Silver,24.0,C,London,5,53,1,1
F,Midlands,Silver,52.0,F,Midlands,9,51,11,0
F,South East,Tin,19.0,C,S & S East,6,64,9,0
F,South East,Tin,18.0,C,London,15,37,4,1
M,Midlands,Silver,28.0,D,Midlands,8,54,1,0
F,Midlands,Gold,15.0,B,Midlands,5,70,8,0
F,Midlands,Tin,19.0,C,East,8,42,5,1
F,Scottish,Tin,40.0,E,C Scotland,7,53,5,1
F,South East,Tin,28.0,D,London,7,49,7,0
F,Midlands,Silver,49.0,F,Midlands,9,66,12,0
F,Midlands,Gold,8.0,B,Wales & West,9,74,2,0
F,Midlands,Gold,37.0,E,East,6,70,2,0
M,South East,Silver,30.0,D,S & S East,7,66,5,0
F,South East,Tin,27.0,D,London,6,46,8,0
M,Midlands,Tin,27.193651677572046,D,Ulster,10,39,5,0
M,Midlands,Silver,12.0,B,East,7,75,7,0
F,Midlands,Silver,27.193651677572046,B,Ulster,8,72,14,1
M,North,Tin,53.0,F,N West,7,43,5,1
F,Midlands,Gold,24.0,C,Wales & West,7,62,4,0
M,South West,Silver,5.0,B,S West,8,37,9,1
F,South East,Tin,48.0,F,London,9,49,8,0
F,North,Gold,32.0,D,N East,8,79,1,0
M,Midlands,Tin,50.0,F,East,8,53,4,0
F,Midlands,Gold,35.0,D,East,4,50,3,0
M,South East,Tin,28.0,D,London,8,66,11,0
F,Midlands,Silver,19.0,C,Wales & West,15,35,5,1
F,Midlands,Silver,14.0,B,Wales & West,10,71,5,0
F,North,Silver,51.0,F,N West,7,44,1,0
M,North,Tin,15.0,B,N East,8,42,5,0
F,South West,Gold,8.0,B,S West,9,68,5,1
F,North,Tin,32.0,D,Yorkshire,9,31,4,0
